"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"2162","OAK","OAK","5470","39.52","0.282","0.163","0.322","0.444","0.332","0.321","0.253","147","522","83.5","18.8","2313","89.1","88.90","259","1009","1122","-0.2","6.16","109","149","118","149","298","321","303"
"2198","MIN","MIN","5323","41.29","0.270","0.187","0.322","0.457","0.336","0.325","0.240","136","503","84.1","17.8","2198","87.9","87.18","278","1006","1140","-0.7","5.94","110","147","115","144","291","315","288"
"2431","CWS","CWS","5592","43.47","0.292","0.165","0.361","0.458","0.353","0.347","0.261","152","520","83.8","21.7","2181","89.0","88.24","276","1086","1322","-0.8","5.88","108","149","112","146","285","301","291"
"2566","LAD","LAD","5890","43.57","0.248","0.165","0.304","0.412","0.319","0.318","0.238","140","565","82.2","19.1","2263","90.0","89.78","330","1201","1331","-0.2","6.14","109","152","115","146","295","316","295"
"2483","BAL","BAL","5856","42.40","0.261","0.138","0.321","0.399","0.316","0.318","0.245","148","566","82.9","16.8","2219","88.5","87.81","312","1172","1278","-0.7","5.96","109","153","117","148","294","315","293"
"2771","MIA","MIA","6138","45.14","0.266","0.171","0.335","0.438","0.334","0.338","0.255","160","601","83.6","18.8","2171","88.0","87.19","316","1244","1483","-0.8","5.92","107","150","111","148","298","321","297"
"2284","DET","DET","5344","42.74","0.263","0.152","0.316","0.415","0.321","0.325","0.240","131","499","82.7","19.2","2309","88.7","87.87","294","1035","1225","-0.8","5.90","109","151","110","145","292","314","290"
"1795","CLE","CLE","5471","32.81","0.258","0.216","0.306","0.474","0.340","0.346","0.254","105","407","84.3","19.0","2265","88.0","87.99","212","848","915","0.0","6.28","109","152","114","148","291","310","295"
"2416","SF","SF","5858","41.24","0.263","0.142","0.313","0.405","0.322","0.329","0.250","143","543","82.8","15.1","2322","89.3","88.45","272","1069","1312","-0.9","5.75","110","147","114","146","295","313","291"
"2393","TOR","TOR","6078","39.37","0.245","0.145","0.304","0.389","0.306","0.315","0.238","127","519","81.8","20.1","2199","89.5","88.80","309","1142","1243","-0.7","5.99","108","150","112","145","297","321","294"
