"Name","Team","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","playerid"
"Aroldis Chapman","- - -","77.8 %","99.9","16.4 %","87.4","","","","","5.8 %","88.2","","","","","0.2 %","10233"
"Arquimedes Caminero","- - -","66.7 %","97.9","","","22.5 %","91.6","0.2 %","78.8","","","10.6 %","90.0","","","0.7 %","8992"
"Kelvin Herrera","Royals","67.9 %","97.6","10.3 %","84.3","","","3.3 %","80.8","18.5 %","89.2","","","","","0.1 %","6033"
"Noah Syndergaard","Mets","59.5 %","97.6","13.2 %","90.9","","","14.3 %","81.4","13.0 %","89.1","0.0 %","92.0","","","0.4 %","11762"
"Brian Ellington","Marlins","76.4 %","97.5","","","","","18.5 %","83.9","5.1 %","87.8","","","","","1.4 %","17233"
"Trevor Rosenthal","Cardinals","76.2 %","97.5","","","7.0 %","86.8","1.8 %","80.9","15.1 %","87.6","","","","","0.6 %","10745"
"Arodys Vizcaino","Braves","64.0 %","97.5","","","","","34.9 %","85.0","1.1 %","89.1","","","","","1.4 %","5498"
"Craig Kimbrel","- - -","69.1 %","97.4","","","","","30.8 %","86.7","0.1 %","92.0","","","","","0.2 %","6655"
"Bruce Rondon","Tigers","60.0 %","97.4","35.1 %","86.4","","","","","4.9 %","89.6","","","","","0.9 %","5766"
"Dellin Betances","Yankees","46.1 %","97.3","53.9 %","84.1","","","","","","","","","","","0.2 %","6216"
"Edwin Diaz","Mariners","66.7 %","97.2","33.2 %","86.9","","","","","0.1 %","89.0","","","","","0.7 %","14710"
"Carlos Estevez","Rockies","71.2 %","97.1","19.6 %","85.9","","","","","9.2 %","89.3","","","","","1.5 %","14542"
"Matt Bush","Rangers","69.9 %","97.1","12.8 %","91.4","","","17.1 %","80.5","0.2 %","90.5","","","","","0.1 %","1246"
"Nate Jones","White Sox","59.9 %","97.0","38.9 %","88.5","","","0.5 %","80.4","0.8 %","88.3","","","","","1.1 %","4696"
"Nathan Eovaldi","Yankees","48.0 %","96.9","20.5 %","85.0","3.2 %","93.1","6.9 %","75.3","11.4 %","88.1","10.0 %","88.5","","","0.2 %","9132"
"Ken Giles","- - -","56.3 %","96.9","43.7 %","86.0","","","","","","","","","","","0.5 %","12910"
"Pedro Baez","Dodgers","74.4 %","96.8","13.9 %","88.1","","","","","11.8 %","87.2","","","","","0.2 %","5420"
"Hunter Strickland","Giants","72.2 %","96.7","24.0 %","84.4","","","0.4 %","81.3","3.4 %","88.4","","","","","1.1 %","7836"
"Jumbo Diaz","- - -","68.6 %","96.7","25.7 %","86.3","","","","","","","5.7 %","89.6","","","1.0 %","3397"
"Jeurys Familia","Mets","74.1 %","96.7","20.9 %","88.0","","","","","","","5.0 %","93.5","","","1.1 %","5114"
"Austin Adams","Indians","69.0 %","96.6","22.7 %","86.6","","","","","8.3 %","89.2","","","","","0.5 %","7411"
"Tommy Kahnle","- - -","65.3 %","96.5","6.1 %","84.9","","","","","28.7 %","88.1","","","","","1.2 %","11384"
"Enny Romero","- - -","64.2 %","96.3","11.2 %","83.8","24.4 %","89.0","","","0.2 %","86.0","","","","","0.3 %","4001"
"Yordano Ventura","Royals","57.1 %","96.2","","","1.8 %","91.8","24.7 %","83.5","16.4 %","86.6","","","","","0.1 %","11855"
"JC Ramirez","- - -","65.3 %","96.2","29.4 %","87.3","","","3.4 %","79.5","","","1.9 %","88.1","","","1.1 %","8302"
"Hector Rondon","Cubs","60.8 %","96.1","35.3 %","85.7","1.4 %","92.5","","","2.5 %","90.2","","","","","0.4 %","2391"
"Zach Britton","Orioles","91.7 %","96.1","8.4 %","82.8","","","","","","","","","","","0.6 %","3240"
"Blake Wood","Reds","54.2 %","96.0","37.7 %","90.0","","","","","8.1 %","86.4","","","","","1.2 %","1345"
"Trevor Gott","- - -","83.0 %","96.0","","","","","15.3 %","80.5","1.7 %","88.4","","","","","1.7 %","15046"
"Luis Severino","Yankees","54.6 %","96.0","34.0 %","88.5","","","","","11.4 %","88.3","","","","","0.2 %","15890"
"Matt Barnes","Red Sox","63.3 %","96.0","4.6 %","88.5","","","23.9 %","81.9","8.2 %","87.0","","","","","0.1 %","12863"
"Bo Schultz","Blue Jays","63.4 %","95.9","12.2 %","85.8","23.5 %","91.3","","","1.0 %","87.6","","","","","","5028"
"Blake Treinen","Nationals","69.5 %","95.9","29.3 %","86.9","","","","","1.2 %","88.1","","","","","2.0 %","12572"
"John Axford","- - -","71.4 %","95.9","14.2 %","90.5","","","13.5 %","78.6","1.0 %","87.0","","","","","0.7 %","9059"
"Jake Diekman","- - -","72.6 %","95.9","24.8 %","84.9","","","","","2.6 %","88.4","","","","","0.2 %","5003"
"Daniel Hudson","- - -","61.2 %","95.8","16.7 %","86.5","","","","","22.2 %","85.0","","","","","0.7 %","7146"
"Joe Kelly","Red Sox","64.9 %","95.8","15.3 %","86.7","","","10.7 %","80.7","9.2 %","85.0","","","","","","9761"
"Luis Garcia","Phillies","59.0 %","95.8","39.8 %","85.0","","","","","1.2 %","87.8","","","","","2.1 %","6984"
"James Paxton","Mariners","65.6 %","95.8","","","11.2 %","89.6","14.8 %","81.4","8.4 %","87.2","","","","","0.3 %","11828"
"Enrique Burgos","Diamondbacks","56.2 %","95.8","41.8 %","87.7","","","","","","","2.0 %","86.1","","","1.6 %","3895"
"Chris Hatcher","Dodgers","58.8 %","95.8","18.1 %","85.5","4.9 %","91.6","","","18.1 %","87.3","","","","","1.2 %","3299"
"Felipe Rivero","- - -","65.9 %","95.7","16.9 %","82.0","","","0.9 %","80.0","16.4 %","87.6","","","","","0.9 %","12076"
"Jose Ramirez","- - -","63.9 %","95.7","24.1 %","86.9","","","","","12.0 %","86.3","","","","","2.3 %","10171"
"Bryan Mitchell","Yankees","50.4 %","95.7","","","21.5 %","91.5","25.5 %","82.2","2.6 %","88.1","","","","","0.7 %","11479"
